id,object_id,valuation_amount,raised_amount,public_at,stock_symbol,source_description,created_at,updated_at,ipo_year,ipo_month
134,c:32425,375000000.0,0.0,2008-05-09,NEPI,,2009-09-24 10:59:34,2009-09-24 10:59:34,2008,5
135,c:32436,288000000.0,0.0,2007-02-08,ARAY,,2009-09-24 12:05:53,2009-09-24 12:05:53,2007,2
136,c:32447,92000000.0,0.0,2007-11-07,BFRM,,2009-09-24 12:41:18,2009-09-24 12:43:12,2007,11
145,c:1663,380436764.0,0.0,2009-09-24,NASDAQ:AONE,,2009-09-25 00:23:09,2009-10-16 17:07:14,2009,9
147,c:28263,0.0,0.0,2000-02-25,NASDAQ:ISIL,,2009-09-25 01:09:16,2013-03-12 03:34:15,2000,2
151,c:26144,57600000.0,0.0,2009-08-05,CDCS,,2009-10-01 21:58:00,2009-10-16 19:19:52,2009,8
152,c:33412,0.0,0.0,2005-01-01,NASDAQ:THLD,,2009-10-07 22:56:42,2009-10-07 22:58:38,2005,1
153,c:33750,108750000.0,0.0,2009-10-08,MG,,2009-10-11 23:22:41,2009-10-16 19:14:07,2009,10
154,c:33751,68200000.0,0.0,2009-10-08,OMER,,2009-10-11 23:24:15,2009-10-16 19:14:33,2009,10
155,c:33752,79800000.0,0.0,2009-10-02,ECHO,,2009-10-11 23:26:25,2009-10-16 19:14:54,2009,10
156,c:25744,0.0,0.0,2006-01-01,NASDAQ:WAVE,,2009-10-12 19:12:24,2009-10-13 22:52:46,2006,1
164,c:26371,367350000.0,0.0,2009-08-12,EM,,2009-10-16 19:17:57,2009-10-16 19:17:57,2009,8
165,c:34079,1043750000.0,0.0,2009-09-25,NSDQ: GAME,,2009-10-16 19:20:55,2009-12-01 00:49:19,2009,9
166,c:34080,648000000.0,0.0,2009-08-14,NASDAQ:AVGO,,2009-10-16 19:22:15,2012-04-11 04:01:02,2009,8
167,c:14081,0.0,0.0,2009-07-01,NASDAQ:LOGM,,2009-10-16 20:24:36,2010-09-17 21:26:33,2009,7
168,c:34178,10200000.0,0.0,2009-07-30,NASDAQ:RCON,,2009-10-19 20:53:55,2009-10-19 20:53:55,2009,7
169,c:34181,106375000.0,0.0,2009-07-13,NASDAQ:TBNK,,2009-10-19 21:10:21,2009-10-19 21:10:21,2009,7
